session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
46,31,744,4430,251,3250,3434,922,55,3,55,1
47,193,310,368,368,310,1131,368,1887,912,912,1
48,912,310,310,1131,368,310,1915,2171,912,912,1
49,912,912,912,582,368,2374,912,582,310,55,1
50,582,912,912,586,134,3,134,201,123,31,1
51,1322,134,1648,3760,393,134,1322,134,4375,55,1
52,3,55,393,55,55,4867,569,569,3809,612,1
53,374,259,259,607,607,201,55,123,416,106,1
54,204,349,173,1068,337,1255,106,524,837,4607,1
55,4147,212,212,212,415,415,1385,764,1385,764,1
56,875,55,134,422,586,3,134,134,201,123,1
57,31,134,3451,217,217,1076,393,3,55,201,1
58,123,55,293,898,2330,397,3579,868,3539,684,1
59,684,374,374,397,374,397,397,397,397,55,1
60,55,201,123,5,683,193,128,4234,4758,543,1
61,227,543,227,668,668,217,217,55,55,2182,1
62,55,106,1255,246,524,55,3623,4776,974,1488,1
63,4290,974,1488,974,358,358,606,606,55,217,1
64,217,415,134,134,4174,393,55,55,55,397,1
65,898,55,123,416,201,55,55,483,55,4879,1
66,217,4178,217,55,801,55,123,55,201,193,1
67,106,128,293,106,172,1571,1668,55,337,4602,1
68,2084,3575,2084,227,868,212,212,55,201,123,1
69,416,4379,227,4483,227,55,416,683,204,5,1
70,55,173,422,2,472,2,2,2,6,3,1
71,2,3,6,2,994,2,2232,769,2232,422,1
72,422,192,2,472,2,6,2,3,6,2,1
73,3,4,10,10,4,3,6,3,4,4,1
74,21,10,6,27,4,10,4,4,9,3,1
75,30,6,10,21,27,33,30,115,9,9,1
76,4,115,24,4,33,6,4,9,4,115,1
77,6,24,9,192,422,422,192,2,6,3,1
78,3,6,2,2,2,6,2,3,62,54,1
79,2,6,3,54,62,86,54,62,143,54,1
80,143,62,2,2,2,88,2,586,134,3,1
81,3,134,201,123,55,3,55,4644,3344,201,1
82,123,55,3,128,193,3861,227,4618,227,668,1
83,217,217,55,55,586,134,3,134,3,123,1
84,201,55,3,55,337,5,193,349,55,55,1
85,5,683,466,293,204,4188,55,4567,374,3634,1
86,612,612,374,227,227,1076,801,358,801,358,1
87,569,569,192,2,6,3,2,2478,3,2478,1
88,2478,3,6,586,134,2,134,3,61,61,1
89,3716,556,41,61,19,38,13,19,13,38,1
90,134,31,14,3828,38,1,13,245,612,13,1
91,14,19,19,38,227,6,14,13,393,1,1
92,13,38,882,13,19,140,13,1,19,140,1
93,8,882,13,14,1,14,545,19,38,3,1
94,1,19,13,6,6,545,13,19,1,6,1
95,75,75,1,1,1,14,1,14,14,19,1
96,75,14,1,75,1,14,14,14,1,14,1
97,1,14,14,1,14,14,1,14,1,14,1
98,75,14,1,14,1,14,14,13,14,6,1
99,55,3,55,55,201,123,416,466,106,5,1
100,106,4083,246,172,55,3307,259,4343,569,259,1
101,569,173,173,43,2,6,3,86,62,143,1
102,2,54,54,86,54,54,54,6,3,2,1
103,2,2,2299,2,2,3,586,134,3,134,1
104,134,134,201,123,55,3,55,123,201,55,1
105,193,128,55,3446,227,3393,2132,227,569,1697,1
106,2,6,3,2,6,3,148,148,18,6,1
107,148,17,5,45,5,3,148,3,6,1227,1
108,148,148,3,148,148,148,148,10,148,10,1
109,148,148,148,148,148,148,148,148,148,148,1
110,148,148,10,148,148,148,148,148,148,148,1
111,148,148,148,148,148,13,38,19,148,148,1
112,148,148,148,148,148,148,148,148,148,148,1
113,148,148,148,148,148,148,148,148,148,148,1
114,148,148,148,148,148,148,148,148,148,148,1
115,148,148,148,148,148,148,148,148,148,148,1
116,148,148,148,148,148,148,148,148,148,148,1
117,148,148,148,148,148,245,148,148,148,148,1
118,148,148,148,148,148,148,148,148,148,148,1
119,148,148,148,148,148,2,6,3,238,6,1
120,88,238,2,3,38,13,19,3,6,88,1
121,238,38,19,13,238,426,365,365,426,74,1
122,1174,905,1252,4726,1252,1283,238,426,365,512,1
123,1252,762,1174,365,426,4126,74,1385,74,74,1
124,74,74,74,365,74,74,74,74,74,74,1
125,74,3204,365,905,512,905,74,74,74,365,1
126,1283,3204,512,74,74,760,580,860,1894,74,1
127,74,1283,74,74,74,426,365,2059,426,365,1
128,375,45,18,17,375,5,375,5,4286,375,1
129,1810,1810,365,74,2059,365,74,74,74,74,1
130,74,74,74,74,74,74,74,74,74,74,1
131,74,74,74,74,74,74,74,238,74,74,1
132,74,74,74,74,74,74,74,74,74,74,1
133,74,74,74,74,74,74,74,74,74,74,1
134,74,74,74,74,238,1621,31,6,6,22,1
135,5,452,1621,17,18,45,31,6,1621,130,1
136,653,5,22,1621,45,6,53,6,5,1621,1
137,20,20,10,20,20,10,2,6,3,2,1
138,3030,3030,6,3,238,2,53,238,238,45,1
139,1399,1549,229,2363,1399,22,1549,229,1549,1399,1
140,6,10,5,18,1549,1140,1399,17,5,1140,1
141,6,20,13,19,1399,1140,1399,238,238,88,1
142,3,238,1283,238,13,238,244,753,1541,753,1
143,45,17,18,789,6,6,753,1440,6,337,1
144,349,683,5,2732,5,547,172,417,639,1236,1
145,172,293,10,639,172,10,3546,172,753,20,1
146,20,173,20,88,3,13,238,238,901,715,1
147,4767,420,420,798,2034,420,17,18,204,22,1
148,420,2087,2034,5,1563,420,20,6,2,3,1
149,2,520,6,1289,520,6,17,2816,18,1289,1
150,520,1289,1289,520,1289,1872,171,2571,859,520,1
151,1067,453,171,1289,5,1289,171,193,520,520,1
152,520,520,393,520,520,520,393,520,209,17,1
153,520,5,209,18,520,520,520,520,520,520,1
154,520,520,520,520,520,520,520,2,2,1099,1
155,1099,31,3,1099,5,22,1099,209,3653,31,1
156,1099,209,6,945,209,209,396,945,209,209,1
157,20,20,10,10,1099,209,209,396,945,766,1
158,209,238,2,2,3640,5,328,18,17,3108,1
159,106,22,6,5,2,229,3397,3441,106,3108,1
160,3245,2689,3245,2689,5,6,5,4718,10,10,1
161,328,13,38,19,20,20,396,2,209,1099,1
162,5,1099,209,6,20,1099,2885,209,186,376,1
163,384,945,523,376,601,209,619,5,396,186,1
164,384,22,6,31,384,523,209,186,20,666,1
165,186,10,6,384,20,619,376,5,384,601,1
166,523,376,4168,6,666,376,376,619,5,186,1
167,376,416,601,186,20,4306,523,601,6,376,1
168,2176,186,5,376,376,523,186,666,384,376,1
169,6,18,20,17,20,5,2975,2975,452,209,1
170,186,5,376,20,376,601,523,17,6,766,1
171,945,18,209,396,2456,5,6,209,2456,396,1
172,209,20,601,5,20,523,17,6,666,18,1
173,5,20,2,186,238,396,186,2,3,238,1
174,3,238,1505,2740,2430,1344,3644,4513,1116,17,1
175,130,87,18,1505,1116,73,53,2430,130,5,1
176,6,10,31,87,73,1542,1116,22,20,4066,1
177,1116,2,87,62,54,143,2,86,54,86,1
178,62,54,54,54,3,88,13,238,238,53,1
179,238,2,3,2,1017,102,174,102,174,2911,1
180,2353,1017,73,3759,45,102,251,1017,146,918,1
181,31,2,173,173,102,146,102,1017,1017,174,1
182,1017,174,174,73,1017,174,2353,2353,73,2911,1
183,3,88,238,13,2,3,2,1770,3311,3,1
184,406,1770,898,1770,516,898,397,397,397,397,1
185,3724,2,1770,4600,4253,3,397,397,397,397,1
186,397,397,397,1770,397,397,2,6,3,2,1
187,319,102,6,3,73,84,102,319,4827,1899,1
188,146,1899,737,638,319,3218,319,73,1899,319,1
189,1117,319,84,31,3218,146,102,319,22,5,1
190,84,319,17,18,6,53,6,125,22,10,1
191,20,319,10,3312,319,319,1542,73,1899,1914,1
192,20,319,1117,22,1914,5,125,53,18,17,1
193,6,238,319,20,319,73,1389,73,1389,1117,1
194,1389,22,18,5,6,17,53,125,5,319,1
195,20,2325,319,73,1117,319,22,53,17,18,1
196,6,125,5,20,319,1645,73,1645,319,22,1
197,17,6,5,18,319,2082,319,2082,73,319,1
198,20,1117,2082,22,6,5,53,18,17,22,1
199,319,73,319,20,2859,1117,375,2859,17,6,1
200,5,18,53,319,2450,2450,73,319,20,2450,1
201,5,18,17,53,5,6,2990,3456,4823,2990,1
202,31,4216,3754,4229,84,4288,3960,20,2,625,1
203,2,742,1092,416,18,17,5,211,483,625,1
204,483,742,17,483,18,625,742,1092,416,1733,1
205,742,625,742,742,625,742,625,17,742,18,1
206,416,1092,1752,87,625,625,87,17,1092,18,1
207,742,406,742,742,625,406,742,17,1092,18,1
208,625,625,1092,18,742,406,17,406,625,625,1
209,2,18,742,2,17,1092,625,625,625,1092,1
210,17,742,18,625,319,1647,319,2462,1117,73,1
211,319,1647,792,174,1647,375,17,6,5,18,1
212,53,125,20,319,319,2048,73,2048,2048,18,1
213,53,6,125,17,5,3,88,238,13,20,1
214,625,625,1092,18,17,742,625,319,3009,319,1
215,73,87,3009,125,5,53,18,6,17,20,1
216,87,319,1914,319,73,1914,125,53,5,45,1
217,18,6,17,319,1539,319,1539,73,87,1539,1
218,5,53,18,6,17,319,87,20,2289,319,1
219,375,73,2462,792,2289,319,2289,375,125,53,1
220,6,17,5,18,319,73,20,319,3217,3081,1
221,375,3081,3217,6,17,5,53,125,18,20,1
222,5,319,319,2103,2103,1542,73,319,1612,319,1
223,2103,6,17,18,53,125,5,319,20,319,1
224,3836,319,73,1542,18,5,6,17,319,3806,1
225,20,238,61,61,1350,699,3235,61,556,41,1
226,61,230,230,230,351,351,505,192,230,230,1
227,230,101,230,230,40,230,230,230,230,230,1
228,101,230,40,1282,230,181,40,40,61,43,1
229,81,43,43,586,134,3,134,3,31,3346,1
230,55,3,55,201,123,106,4137,246,524,55,1
231,55,293,337,55,683,416,204,293,2571,55,1
232,4246,4591,764,557,557,764,227,400,559,173,1
233,173,43,192,93,93,93,586,134,93,31,1
234,134,3,134,3,134,201,123,658,134,393,1
235,3785,55,3,55,55,55,201,123,106,43,1
236,93,93,134,201,123,393,658,658,4897,1320,1
237,1320,55,55,55,416,602,349,128,204,173,1
238,612,4473,3674,173,1961,612,55,201,55,1961,1
239,123,193,5,1474,4684,4449,1474,1288,227,1288,1
240,227,374,1029,374,1445,1445,1385,217,2860,2860,1
241,55,55,201,123,416,55,466,55,293,483,1
242,1713,483,5,683,337,4349,3883,55,123,201,1
243,55,55,416,55,3412,259,3897,764,259,358,1
244,212,922,55,55,55,55,4908,606,3462,227,1
245,606,227,612,612,55,201,55,123,4161,4586,1
246,602,764,602,614,1808,614,55,55,55,55,1
247,55,55,201,123,55,3756,4731,764,1288,1288,1
248,227,614,227,614,684,684,55,201,55,123,1
249,4855,3692,55,55,201,123,3743,4753,134,55,1
250,123,201,658,393,123,201,134,658,393,3318,1
251,607,607,55,55,134,55,134,658,393,4377,1
252,259,259,3338,3,134,586,31,3,134,658,1
253,658,134,393,134,3728,2495,602,2495,602,55,1
254,3,55,55,55,106,837,1255,1068,293,106,1
255,683,918,293,246,4910,3375,400,559,400,2422,1
256,400,1178,2230,1029,1029,922,922,614,614,43,1
257,93,2,3,6,2,58,31,58,136,58,1
258,58,6,2,3,2,2,2,401,278,2,1
259,4578,2817,401,278,229,229,590,401,942,22,1
260,1244,703,45,939,22,6,703,942,18,17,1
261,1244,730,703,942,693,703,730,20,10,5,1
262,6,20,401,10,2,2,826,826,485,485,1
263,485,485,202,1192,2,2,2,2,62,54,1
264,143,86,54,62,54,55,134,134,55,55,1
265,55,55,416,55,193,349,5,3686,4249,2,1
266,62,54,54,86,54,62,337,2,2,2,1
267,58,58,58,2,2,1361,442,31,2080,442,1
268,1670,1670,865,128,211,4878,204,1670,211,2884,1
269,1670,5,2106,2106,1670,211,204,2106,865,211,1
270,2884,128,5,216,442,2,1361,442,2633,3,1
271,3,5,2,2,58,2,58,58,2,58,1
272,58,2,58,58,2,2,2716,2,55,134,1
273,134,55,55,55,416,483,204,173,173,55,1
274,134,123,201,134,658,393,4309,55,55,416,1
275,128,55,134,201,123,483,658,393,4861,93,1
276,10,4,214,3,4,10,4,6,3,3,1
277,4,3,21,27,6,10,27,4,21,6,1
278,30,3,9,9,30,6,6,4,4,33,1
279,4,4,9,6,24,4,9,9,6,33,1
280,6,24,2,2,6,9,2,2,2,62,1
281,54,54,2,86,86,62,9,9,4,4,1
282,9,4,4,9,4,4,9,4,4,4,1
283,9,4,9,4,4,9,4,134,134,4,1
284,55,55,201,123,3386,251,4345,4503,4,9,1
285,4,60,60,267,586,134,3,134,134,3,1
286,31,201,123,134,134,4185,668,358,358,393,1
287,55,55,3,55,55,55,683,4371,55,55,1
288,201,123,106,1068,837,3336,4863,684,1488,217,1
289,358,217,106,43,55,201,123,193,293,918,1
290,4815,922,259,3798,259,3104,569,3104,569,602,1
291,2380,2380,55,134,134,134,134,393,4156,227,1
292,227,212,212,393,55,55,3518,4519,557,557,1
293,607,607,55,55,337,55,3362,4484,1075,1075,1
294,559,400,212,400,212,55,5,4597,3480,1697,1
295,1697,259,1320,201,55,123,4592,890,890,2326,1
296,4523,374,374,614,55,55,123,201,55,55,1
297,4114,3495,55,55,123,201,5,128,4006,3465,1
298,2158,864,873,543,873,134,55,3745,134,3899,1
299,922,812,393,393,55,4386,55,4880,55,3757,1
300,4536,374,374,227,212,212,259,217,868,227,1
301,217,557,557,192,2,6,3,4,3,4,1
302,4,10,2,6,21,2,2,27,3,10,1
303,21,4,30,6,9,3,27,6,9,4,1
304,33,6,4,9,33,10,4,31,586,201,1
305,3,134,123,6,6,9,4,55,3,55,1
306,3,55,106,172,837,1068,55,3509,668,668,1
307,172,55,55,3,55,2676,204,55,4348,4633,1
308,227,43,217,227,217,1672,173,55,55,173,1
309,55,4,9,6,6,4,4,9,4,30,1
310,4,4,30,124,124,77,30,30,30,124,1
311,77,4,4,4,4,4,4,4,43,2,1
312,6,3,2360,2,2,2421,3,6,2,3,1
313,134,586,134,3,31,134,134,4469,393,3,1
314,55,123,197,55,201,106,246,193,4818,868,1
315,55,3,55,293,337,2676,4013,4045,227,607,1
316,217,227,55,1075,1075,2,2,62,143,86,1
317,2,54,2,86,143,54,782,2,2,134,1
318,3,134,3751,393,123,55,197,55,4885,4037,1
319,602,602,217,2322,2322,358,358,1009,55,4336,1
320,4118,415,569,890,569,227,890,227,55,55,1
321,2,54,62,2,62,86,2,55,2,86,1
322,54,62,2,62,86,43,2,3,6,4,1
323,2,10,2,6,2,21,27,2,3,9,1
324,10,3,21,4,6,30,27,9,30,9,1
325,4,33,10,33,4,9,6,134,586,3,1
326,134,608,31,3,201,197,4,123,123,3,1
327,55,55,201,123,197,106,192,193,837,1068,1
328,342,2204,106,4003,1178,1659,55,3837,1187,227,1
329,212,43,2,9,2,2,2,36,3,157,1
330,36,92,3,36,3,128,5,172,105,10,1
331,10,105,9,2,9,9,9,9,4,3,1
332,30,4,33,2,3,30,33,4,9,9,1
333,6,4,6,4,9,9,4,4,4,4,1
334,9,4,4,4,4,9,4,4,9,134,1
335,201,197,123,55,197,123,201,55,349,5,1
336,4778,4369,415,374,415,374,607,607,614,614,1
337,4,55,55,55,123,197,201,55,4642,764,1
338,9,824,824,614,614,4,4,4,4,9,1
339,55,197,55,123,201,293,1415,55,5,55,1
340,212,4333,3531,259,259,212,55,251,204,3849,1
341,918,245,3746,612,801,801,212,212,55,612,1
342,812,173,812,937,937,4,55,337,4317,123,1
343,197,201,55,3717,3841,3931,764,259,559,400,1
344,374,201,55,123,197,55,4130,55,193,55,1
345,55,4033,55,4532,3749,4,1672,1672,227,890,1
346,890,173,374,374,134,55,212,55,5,2343,1
347,3066,2026,4622,212,212,1307,3783,55,55,201,1
348,197,123,3821,3499,1029,55,201,123,197,4311,1
349,868,937,4865,937,2158,1307,868,259,801,801,1
350,259,937,937,4,55,4679,4153,4,4,80,1
351,52,67,15,72,15,1047,1047,114,3027,114,1
352,563,39,114,114,114,114,39,37,23,537,1
353,85,52,37,23,37,23,23,23,37,23,1
354,37,23,37,23,15,72,2,141,112,15,1
355,6,3,2,168,182,312,164,81,161,168,1
356,182,164,168,161,2,6,3,4,10,2,1
357,6,21,2,2,2,27,3,27,6,4,1
358,10,21,9,4,3,30,9,4,33,4,1
359,10,33,9,4,6,43,60,60,60,60,1
360,69,69,160,80,67,67,581,112,2,141,1
361,15,72,15,2,472,15,39,39,2,2,1
362,37,23,23,6,3,2,85,52,3,67,1
363,67,2,294,540,294,294,486,1582,540,294,1
364,3,2,3,3,2,62,54,2,62,54,1
365,86,143,86,2078,2,2078,2078,2078,2,5,1
366,392,118,90,108,5,90,108,18,108,118,1
367,22,73,45,102,5,17,15,90,118,298,1
368,406,5,107,20,54,62,62,86,2,53,1
369,2207,705,53,22,17,5,130,22,45,53,1
370,18,6,80,3,130,15,3,31,6,10,1
371,53,204,53,53,53,53,53,22,2,1423,1
372,1423,2,23,37,23,256,23,37,23,2,1
373,15,72,15,15,15,15,2,21,27,10,1
374,3,30,6,9,33,9,9,23,37,9,1
375,9,9,23,37,23,9,15,72,4,6,1
376,9,9,37,23,9,6,9,9,37,23,1
377,6,9,4,60,60,60,60,39,67,80,1
378,586,134,3,134,608,3,31,608,123,197,1
379,201,593,52,31,744,5,134,3878,309,55,1
380,3,55,393,201,197,55,337,55,744,193,1
381,293,123,67,5,4772,4902,212,212,217,559,1
382,400,55,55,837,524,106,136,2662,55,112,1
383,204,1068,260,245,251,128,3880,55,55,3683,1
384,4737,1076,1076,55,55,55,87,197,123,201,1
385,342,55,3394,4392,606,2605,2605,217,217,2980,1
386,217,2980,87,55,128,349,744,3834,3781,824,1
387,824,374,374,374,801,612,227,227,37,23,1
388,23,23,85,52,37,23,23,15,2,72,1
389,15,568,6,9,3,2,39,37,23,23,1
390,23,37,23,23,37,23,37,23,72,15,1
391,15,15,15,15,3,30,10,33,6,51,1
392,9,24,6,9,6,9,37,23,9,9,1
393,9,4,425,4,10,21,4,27,10,21,1
394,27,4,30,4,3,4,30,51,4,3,1
395,4,51,9,6,4,51,9,4,6,33,1
396,4,4,24,10,9,9,33,43,24,4,1
397,6,51,51,24,1119,1119,56,1119,178,56,1
398,307,32,32,32,32,32,12,4,12,585,1
399,68,68,880,12,68,110,110,9,6,4556,1
400,68,585,12,12,880,265,460,460,418,418,1
401,6,4,9,24,51,4,9,1035,24,24,1
402,4,9,51,24,9,9,24,81,164,164,1
403,182,168,161,182,312,168,164,182,41,164,1
404,168,5,5,161,182,164,9,2,2,3,1
405,9,9,9,3,38,2,2,13,38,78,1
406,38,38,78,19,6,78,38,38,192,19,1
407,6,19,6,9,3,19,13,13,78,19,1
408,78,78,19,19,19,19,19,19,24,24,1
409,4,38,15,3,13,38,6,15,19,19,1
410,38,38,19,172,172,172,172,9,6,9,1
411,9,9,9,4,9,9,2,9,4,2,1
412,9,2,1416,54,1416,54,54,54,143,86,1
413,86,54,1416,54,1416,9,9,4,9,9,1
414,4,9,6,24,4,9,5,182,161,5,1
415,41,2,3,6,9,9,4,6,9,2,1
416,3,4,2,30,4,10,30,4,33,4,1
417,9,10,9,33,4,6,6,4,60,60,1
418,51,24,4,60,60,4,51,4,9,51,1
419,4,39,6,51,24,24,33,24,9,4,1
420,60,60,60,60,39,80,67,112,141,15,1
421,72,15,37,23,23,15,15,2,952,107,1
422,41,185,52,41,309,41,82,41,185,85,1
423,82,586,31,3,608,134,197,134,3,201,1
424,123,608,134,52,71,4472,309,393,55,3,1
425,55,55,55,197,123,106,260,112,524,172,1
426,55,4654,4830,1178,374,1659,254,374,165,254,1
427,44,4616,254,99,374,44,44,44,159,254,1
428,1029,147,187,95,1029,97,614,3,9,6,1
429,2,614,112,720,85,15,15,52,3,30,1
430,10,33,6,9,9,37,23,23,9,9,1
431,9,37,23,23,9,55,309,134,55,55,1
432,141,112,55,123,197,3933,3496,217,259,400,1
433,559,358,6,15,72,2,22,532,567,3464,1
434,532,22,567,6,532,2695,728,107,17,5,1
435,18,5,567,136,2695,20,45,4,9,6,1
436,10,2,1166,6,15,1166,5,1166,5,3633,1
437,1166,3188,3021,3021,293,1166,3524,458,172,2153,1
438,172,2153,172,1166,1166,1166,31,2776,3617,2587,1
439,2,1787,1604,617,4367,2587,2410,1604,2776,4837,1
440,1787,4150,1787,3,5,1604,1787,15,1604,2410,1
441,2885,186,523,186,384,376,619,803,384,186,1
442,619,5,22,384,803,2565,186,523,853,601,1
443,31,666,384,803,5,376,954,172,184,186,1
444,384,186,619,45,376,5,2410,601,186,2565,1
445,186,666,17,18,523,666,376,853,186,22,1
446,5,172,3414,172,954,246,803,2,31,543,1
447,543,543,20,1009,186,1009,184,22,186,184,1
448,10,6,186,184,186,184,184,186,184,1604,1
449,20,9,55,123,197,55,4481,400,358,3457,1
450,559,1076,259,824,259,612,55,106,123,197,1
451,2077,106,4511,4712,217,217,1810,720,112,55,1
452,55,197,123,55,55,123,197,3738,374,3332,1
453,55,123,197,55,55,55,123,55,197,982,1
454,55,3803,4701,358,1187,602,557,1187,2,23,1
455,37,23,23,2,31,203,1281,1466,1281,1247,1
456,1247,1466,1281,1247,1466,529,1247,203,1281,1247,1
457,203,55,9,2,55,55,197,123,3401,4710,1
458,227,559,400,227,937,612,557,612,15,10,1
459,4,21,9,55,197,123,55,4540,4740,668,1
460,668,4,60,60,60,80,60,15,72,15,1
461,15,15,351,39,21,27,30,3,10,33,1
462,23,37,51,6,39,24,256,9,141,112,1
463,9,9,6,9,23,37,9,9,4,9,1
464,37,23,23,9,4,60,60,80,67,60,1
465,60,141,15,72,112,15,37,23,23,23,1
466,15,15,15,15,39,15,39,2,3,30,1
467,10,33,9,6,85,52,31,1281,203,1466,1
468,1247,1466,529,203,1247,1466,1281,15,3,203,1
469,1281,10,9,9,9,51,24,6,9,9,1
470,3,9,3,88,9,2,9,17,393,9,1
471,393,5,6,40,4,9,9,2,9,9,1
472,9,9,9,9,9,6,9,4,11,11,1
473,2,7,10,21,30,33,637,3,15,9,1
474,39,77,38,153,19,13,1,78,6,9,1
475,9,9,17,5,5,5,17,5,5,5,1
476,9,10,17,17,5,17,5,17,3066,17,1
477,5,17,5,6,9,2,3,10,9,9,1
478,4,9,9,9,9,9,9,9,9,9,1
479,9,9,9,9,4,9,9,9,9,9,1
480,9,9,9,2,9,4,9,39,39,88,1
481,213,9,6,3,2,39,9,9,3,30,1
482,9,10,33,6,24,6,9,9,9,9,1
483,9,6,9,4,9,9,9,9,9,9,1
484,6,4,9,5,17,22,53,3,213,2,1
485,6,9,2,6,10,207,500,77,3,9,1
486,9,9,60,60,60,60,39,39,80,67,1
487,15,72,15,15,15,3,30,10,9,33,1
488,23,37,51,6,24,85,52,9,9,9,1
489,23,37,23,9,9,9,37,23,4,9,1
490,9,9,9,23,37,23,9,9,9,4,1
491,37,23,9,4,134,586,134,3,608,31,1
492,3,134,201,197,123,134,192,608,608,134,1
493,134,393,4647,259,259,217,217,873,873,55,1
494,3,55,55,55,106,201,123,197,106,172,1
495,837,2534,1068,639,1236,639,4158,172,173,374,1
496,374,3425,212,864,864,374,374,55,123,197,1
497,55,201,106,3814,128,172,342,173,172,3867,1
498,2380,227,227,227,4857,1009,1009,875,824,824,1
499,55,55,197,123,201,55,55,3673,212,1035,1
500,43,2,2,6,3,43,6,3,2,2345,1
501,2345,2345,393,60,60,60,60,80,67,67,1
502,15,72,581,586,134,31,3,608,201,134,1
503,3,123,197,608,52,337,193,52,4344,2084,1
504,212,720,112,309,267,15,393,141,112,15,1
505,3,55,67,55,55,55,197,123,55,15,1
506,342,260,5,3334,4160,612,259,173,1469,23,1
507,37,23,537,39,85,52,37,23,23,39,1
508,23,37,37,23,23,586,134,3,608,123,1
509,197,201,31,608,192,134,204,5,209,134,1
510,4605,358,393,3,55,106,123,197,55,239,1
511,106,246,3648,55,197,123,5,1469,123,55,1
512,197,3603,4771,55,43,197,134,123,5,4111,1
513,1888,393,55,123,197,55,4208,3968,2,415,1
514,6,873,212,415,873,212,3,55,197,123,1
515,55,238,2,6,3943,3,3900,13,38,88,1
516,217,227,259,217,227,238,3,6,13,38,1
517,88,2247,1333,1784,2183,771,771,2065,580,760,1
518,2193,2065,760,244,771,2507,1882,31,452,1125,1
519,580,860,2218,1125,55,991,1278,197,123,1125,1
520,55,55,123,55,197,4509,3740,606,606,358,1
521,358,559,400,400,771,55,123,197,55,349,1
522,193,123,55,197,3497,4729,212,212,764,55,1
523,1882,2933,55,2933,771,771,771,80,67,141,1
524,15,112,72,37,23,23,31,586,134,3,1
525,608,201,3,134,197,123,608,134,193,349,1
526,52,5,209,134,52,4620,602,557,212,212,1
527,2,15,15,15,393,67,309,134,123,5,1
528,197,193,134,134,5,3896,557,557,684,684,1
529,227,720,112,217,393,3,55,55,55,55,1
530,55,55,123,197,55,5,4400,4204,245,227,1
531,227,606,607,400,559,400,543,543,55,55,1
532,123,197,246,193,172,106,260,112,172,3548,1
533,4228,1320,1320,1009,684,684,3046,374,3046,559,1
534,400,1469,55,1309,1309,3243,2932,22,1309,1309,1
535,22,1309,130,45,187,2932,130,1309,18,2,1
536,53,17,107,15,53,218,1309,3243,107,3593,1
537,5,238,88,13,3,38,9,20,85,6,1
538,10,52,238,9,54,62,2,143,54,62,1
539,86,62,54,86,62,3,9,2,37,23,1
540,2,2646,2050,2,2050,2050,2050,3,9,2,1
541,106,310,3325,368,310,1386,310,2362,368,98,1
542,1131,848,2864,1887,80,368,52,80,368,310,1
543,793,848,881,582,881,1131,2362,368,310,881,1
544,582,368,310,881,368,582,310,4900,1915,848,1
545,848,881,368,368,848,15,52,582,848,310,1
546,848,368,848,310,848,5,5,310,848,1206,1
